,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
45,,,,,,,5,
46,,,,,,,4.3,
47,,,,,,,5,
48,,,,,,,5,
49,,,,,,,4,
50,,,,,,,4,
51,,,,,,,2,
52,,,,,,,4.1,
53,,,,,,,4,
54,,,,,,,2,
55,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
56,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
57,Mi,Mi Buds 5C,,"₹4,999","₹1,799",64%,4,"(16,069)"
58,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
59,Noise,Noise Buds VS404,50,"₹3,499",₹999,71%,3.9,"(85,945)"
60,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
61,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
62,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(82,529)"
63,boAt,"boAt Airdopes 111v2,",,"₹4,990","₹1,049",78%,4.1,"(17,573)"
64,realme,realme Buds T110,38,"₹2,999","₹1,299",56%,4.2,"(69,964)"
65,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4,"(12,267)"
66,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
67,ZEBRONICS,ZEBRONICS Pods K3,40,"₹4,199","₹1,099",73%,3.7,(91)
68,GOBOULT,GOBOULT K10 50H,50,"₹2,499",₹799,68%,4,"(33,881)"
69,boAt,boAt Nirvana Ion,120,"₹9,990","₹1,799",81%,4.1,"(1,34,762)"
70,Noise,Noise Buds VS102,70,"₹4,999","₹1,499",70%,3.8,"(68,273)"
71,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
72,Number,Number Super Buds,,"₹4,999",₹799,84%,4,"(29,713)"
73,boAt,boAt Airdopes Supreme,50,"₹5,990","₹1,299",78%,4.1,"(1,74,192)"
74,boAt,boAt Airdopes 161,50,"₹6,999","₹1,399",80%,4,"(14,48,951)"
75,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4.1,"(2,10,839)"
76,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
77,Noise,Noise Buds VS102,70,"₹4,999","₹1,499",70%,3.8,"(68,273)"
78,boAt,boAt Airdopes Prime,50,"₹5,990","₹1,299",78%,4.2,(746)
79,realme,realme Buds T01,,"₹2,999","₹1,099",63%,3.9,"(12,333)"
80,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(6,68,128)"
81,GOBOULT,GOBOULT Mustang Derby,100,"₹5,999","₹1,299",78%,4.1,"(1,69,005)"
82,boAt,boAt Airdopes 91,,"₹4,990",₹799,83%,3.8,"(14,567)"
83,boAt,boAt Airdopes 181,100,"₹4,990","₹1,099",77%,4,"(1,06,270)"
84,boAt,boAt Airdopes 181,100,"₹4,990","₹1,199",75%,4,"(1,06,270)"
85,realme,realme Buds T01,,"₹2,999","₹1,099",63%,3.9,"(12,333)"
86,boAt,"boAt Airdopes 161/163,ASAP",40,"₹2,490","₹1,099",55%,4,"(14,48,951)"
87,truke,truke Mega 9,70,"₹3,999","₹1,099",72%,4,"(3,123)"
88,boAt,boAt Nirvana Ion,120,"₹7,990","₹1,499",81%,4.2,"(1,15,541)"
89,boAt,"boAt Airdopes 301,75H",75,"₹4,990","₹1,099",77%,3.9,"(11,442)"
90,Infinix,Infinix XE 27,,"₹3,999","₹1,539",61%,3.8,(135)
91,boAt,boAt Airdopes 181,100,"₹4,990","₹1,199",75%,4,"(1,06,270)"
92,OPPO,OPPO Enco Buds,28,"₹3,999","₹1,599",60%,4.3,"(4,05,630)"
93,boAt,boAt Nirvana Ion,,"₹13,990","₹1,999",85%,4.2,"(1,15,541)"
94,boAt,"boAt Airdopes 131,60H",60,"₹2,990",₹699,76%,4,"(20,34,569)"
95,,,,,₹599,70%,4,
96,,,,,"₹1,799",81%,5,
97,,,,,"₹1,299",56%,5,
98,,,,,"₹1,099",73%,4.1,
99,,,,,"₹1,499",81%,4,
100,,,,,,,5,
101,,,,,,,4.2,
102,,,,,,,4,
103,,,,,,,5,
104,,,,,,,3.7,
105,,,,,,,4,
106,,,,,,,2,
107,,,,,,,4.2,
108,,,,,,,5,
109,,,,,,,4,
110,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
111,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
112,realme,realme Buds T01,,"₹2,999","₹1,099",63%,3.9,"(12,333)"
113,boAt,"boAt Airdopes 161/163,ASAP",40,"₹2,490","₹1,099",55%,4,"(14,48,951)"
114,truke,truke Mega 9,70,"₹3,999","₹1,099",72%,4,"(3,123)"
